date,gz_spr,baa_aaa,cp_treas1mo,dd_wp25,dd_wp50,dd_wp75,dd_wp50_all,gz_spr_p,gz_spr_oa_p,ebp,xmktret,cds1yr_bd_avg,cds5yr_bd_avg,sp500vix,xret_bd,termspr,ffr_r,empl,uerate,ipm
OCT1979,0.6706,1.2700,2.4900,4.2339,5.7913,7.3405,6.1068,1.6173,1.3859,-0.9467,,,,,,1.9836,7.5933,74344.00,6.0000,45.4897
NOV1979,0.7072,1.2300,1.0000,4.9190,6.7617,8.6490,6.8887,0.8822,0.9783,-0.1749,,,,,,1.7633,6.7370,74401.00,5.9000,45.3358
DEC1979,0.7633,1.3200,4.1300,4.3630,6.9678,9.1070,6.8917,0.6594,0.9962,0.1038,,,,,,2.3495,7.4437,74489.00,6.0000,45.4769
JAN1980,0.7476,1.3300,1.1600,4.5722,7.3364,9.4166,6.9369,0.8562,0.9423,-0.1086,,,,,,1.4997,5.7549,74599.00,6.3000,45.6613
FEB1980,0.8152,1.1900,0.8300,4.2314,6.0695,8.4374,5.9748,1.4161,1.1635,-0.6009,,,,,,2.0935,8.4385,74653.00,6.3000,45.6324
MAR1980,0.9696,1.4900,1.8400,4.3048,6.0692,8.8636,5.1636,0.7009,1.3598,0.2686,,,,,,2.4604,11.2918,74695.00,6.3000,45.2927
APR1980,1.0359,2.1500,3.1900,4.2379,5.3175,7.2539,5.5061,1.7628,1.3682,-0.7269,,,,,,0.1034,5.7347,74263.00,6.9000,44.3411
MAY1980,0.9929,2.1800,1.0800,4.4156,5.7032,7.3032,5.8422,0.9151,1.0703,0.0779,,,,,,-2.1359,2.5557,73961.00,7.5000,42.9386
JUN1980,0.9866,2.1300,1.6300,4.1358,5.1921,6.1069,5.8543,0.9643,1.1924,0.0223,,,,,,-1.7288,1.9968,73654.00,7.6000,42.2691
JUL1980,0.9726,1.5800,0.9800,3.6808,5.3925,6.2548,5.9740,0.8096,1.3003,0.1630,,,,,,-1.5904,1.3854,73414.00,7.8000,41.8196
AUG1980,0.9153,1.5100,1.3000,3.8982,4.8423,6.0486,5.5984,0.8854,1.1639,0.0299,,,,,,-1.0100,1.9983,73682.00,7.7000,42.1070
SEP1980,0.8861,1.6800,1.3000,4.2180,5.2099,6.8200,5.4337,0.9726,1.0813,-0.0864,,,,,,0.1163,4.3875,73875.00,7.5000,42.8120
OCT1980,0.7886,1.9200,1.5900,3.8986,4.8139,6.8273,5.3245,1.1013,1.0857,-0.3127,,,,,,0.8016,4.7102,74099.00,7.5000,43.6277
NOV1980,0.9127,1.6700,1.5500,4.0293,5.6356,8.0451,5.6715,0.6867,1.1285,0.2260,,,,,,2.5855,9.4105,74350.00,7.5000,44.4603
DEC1980,1.0440,1.9300,4.1200,3.6779,4.8634,6.6018,5.5168,1.1463,1.0898,-0.1023,,,,,,2.7475,12.7012,74563.00,7.2000,44.5775
JAN1981,1.0141,2.2200,2.2600,3.7402,5.1032,6.7082,5.2969,0.7052,1.2363,0.3088,,,,,,2.8235,8.0628,74671.00,7.5000,44.4348
FEB1981,0.9127,2.0200,0.7500,3.9330,5.1107,5.9098,5.2970,0.7715,1.1739,0.1411,,,,,,1.6191,6.2323,74752.00,7.4000,44.1929
MAR1981,0.8295,2.0100,0.9000,4.8579,6.5915,9.1352,5.8297,0.8261,1.1008,0.0034,,,,,,-0.2016,5.5902,74910.00,7.4000,44.3469
APR1981,1.0316,1.6800,1.3500,5.5529,6.5451,9.8577,5.9383,0.5636,1.3150,0.4679,,,,,,1.6873,10.2469,75016.00,7.2000,44.5858
MAY1981,1.0906,1.6300,0.4700,5.1674,6.2961,9.2813,5.8068,0.8663,1.0270,0.2243,,,,,,2.5534,8.7731,75088.00,7.5000,44.7963
JUN1981,1.0606,2.0500,2.3800,5.0476,5.9119,8.9060,5.5974,0.6376,1.2999,0.4230,,,,,,1.3732,9.9734,75323.00,7.5000,44.5598
JUL1981,1.0398,1.7900,2.3500,4.7504,6.1153,8.9547,5.4277,0.6634,1.1687,0.3764,,,,,,1.2096,8.9577,75419.00,7.2000,44.6313
AUG1981,0.9273,1.4500,1.9900,4.1191,5.5403,8.7973,5.1952,0.7278,1.1874,0.1995,,,,,,1.1046,8.4226,75448.00,7.4000,44.6832
SEP1981,1.0403,1.4300,1.5700,3.5172,5.1176,9.1014,4.5790,0.7053,1.2469,0.3350,,,,,,-0.6004,8.2286,75440.00,7.6000,44.4482
OCT1981,1.1931,1.7100,1.6600,3.4914,5.4091,8.9186,4.9473,0.6720,1.4104,0.5210,,,,,,-1.2960,6.3745,75302.00,7.9000,44.0171
NOV1981,1.3426,2.1700,0.8200,3.9344,5.5834,9.6527,5.2913,1.1929,1.0683,0.1497,,,,,,-1.9968,4.6001,75084.00,8.3000,43.4612
DEC1981,1.2907,2.3200,2.2300,3.9144,5.4677,8.9600,5.2367,0.7959,1.3176,0.4948,,,,,,-2.4156,5.5009,74811.00,8.5000,42.6961
JAN1982,1.3248,1.9200,1.5000,3.6898,5.1768,9.2171,5.0323,0.6223,1.6626,0.7025,,,,,,-1.0437,6.8152,74516.00,8.6000,41.6691
FEB1982,1.3187,1.9100,1.7200,3.3782,5.0150,8.9530,4.9195,0.8886,1.2739,0.4301,,,,,,-0.8952,6.6057,74540.00,8.9000,42.7973
